y,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0,1,13,3,1,17,3,276,99,22,2
0,2,16,19,2,11,3,325,92,17,3
1,2,9,2,2,39,3,321,89,9,2
0,2,13,3,1,11,3,307,96,21,9
0,2,18,21,2,19,3,327,80,22,10
1,1,22,3,2,45,3,301,113,24,1
1,2,7,11,1,20,3,333,112,18,6
0,2,23,3,1,20,3,301,91,40,8
0,1,23,3,1,20,3,320,119,20,7
1,1,23,3,2,38,3,289,111,12,3
0,2,14,22,2,17,3,270,93,35,4
1,1,17,17,2,19,3,315,107,32,3
1,2,9,5,2,24,3,292,108,12,4
0,2,18,25,2,25,3,278,116,23,4
1,1,17,17,2,31,3,315,107,12,8
0,2,1,15,2,31,3,283,111,21,4
1,2,1,8,2,18,2,291,97,35,6
0,1,11,16,2,22,2,306,112,24,5
1,1,22,13,2,27,2,275,120,37,3
1,2,9,2,2,14,2,329,107,30,9
1,2,13,1,2,20,2,272,98,20,2
1,1,6,17,2,35,2,317,84,8,5
1,2,23,3,1,20,2,340,110,28,6
1,1,23,3,1,20,2,315,117,0,4
1,2,6,17,2,37,2,327,107,37,2
1,1,22,3,2,15,2,307,111,27,2
1,2,20,2,2,25,2,287,83,25,5
1,2,23,3,2,10,2,285,101,0,1
1,2,20,2,2,14,1,321,81,1,4
1,1,23,3,2,38,1,295,99,20,2
1,2,13,1,2,29,1,331,108,33,7
0,2,10,3,2,19,1,277,93,37,6
0,2,7,11,2,30,1,298,111,40,4
0,1,14,15,2,32,1,332,96,37,2
0,2,8,3,2,27,1,318,110,17,9
1,2,12,7,2,34,1,282,95,38,5
1,2,8,7,2,23,1,321,118,9,7
0,2,15,1,2,66,1,328,104,28,1
1,2,23,3,2,12,1,283,105,10,6
1,2,2,9,2,29,1,275,87,37,1
0,2,15,1,2,19,1,285,81,4,5
0,2,20,2,2,3,1,279,105,5,10
1,2,13,14,2,17,3,339,106,19,6
1,2,9,6,2,7,3,301,119,0,9
0,1,10,3,2,21,3,316,82,25,6
1,2,14,15,2,36,3,323,80,15,10
0,1,13,1,2,54,3,299,90,25,5
1,1,8,3,2,29,3,311,86,18,8
1,2,20,2,2,45,3,311,89,12,5
1,2,22,1,2,11,2,304,86,0,8
0,2,18,12,2,16,2,291,81,40,4
1,2,20,15,2,18,2,281,107,4,7
0,1,17,18,2,44,2,301,120,28,3
0,2,14,23,2,17,2,283,100,23,10
1,2,24,26,2,21,2,276,85,25,10
1,2,9,24,2,20,2,324,94,33,7
1,2,12,8,2,24,2,286,94,9,8
1,2,9,6,2,5,2,306,94,14,7
0,2,22,1,2,42,2,314,91,22,9
0,2,7,11,2,30,1,301,95,18,8
0,2,10,3,2,19,1,293,112,24,2
1,2,23,3,2,11,1,287,98,33,4
0,2,17,18,2,29,1,338,90,36,5
0,2,16,20,2,15,1,278,103,19,4
0,2,3,2,2,37,1,298,117,18,2
1,2,19,4,2,10,1,312,86,19,7
1,2,23,3,2,24,1,313,101,31,2
0,2,3,2,2,26,1,334,108,12,7
1,2,10,3,2,12,1,293,114,29,2
1,1,18,7,2,48,1,311,80,4,8
0,2,22,1,2,51,1,290,96,12,6
0,2,2,10,2,27,1,311,111,24,7
